omop_cdm_code,"icd9_code","snomed_ct_code"
4060985,"V85.30","162864005"
4060985,"V85.31","162864005"
4066163,"788.0","17329003"
4173498,"V17.3","275120007"
4188027,"V15.05","414285001"
4211231,"300.01","56576003"
4251171,"V62.0","73438004"
4273391,"V62.84","6471006"
4308509,"790.21","390951007"
76508,"728.0","29689003"
196236,"785.52","76571007"
434821,"995.92","238149007"
437390,"799.02","389087006"
137809,"174.9","93796005"
192956,"575.10","76581006"
194175,"789.02","301715003"
194686,"593.2","105999006"
197032,"600.91","433234005"
314059,"426.4","59118001"
380394,"356.4","33209009"
437530,"272.9","267431006"
439297,"366.16","193589009"
440083,"308.3","67195008"
440674,"274.9","90560007"
441532,"273.1","267440005"
442019,"998.89","116224001"
443862,"E878.2","30958002"
4079876,"272.2","238040008"
4245252,"790.93","396152005"
23325,"787.1","16331000"
77079,"724.00","76107001"
377091,"780.3","91175000"
438791,"514","196115007"
254591,"197.0","94391008"
261687,"786.3","66857006"
441407,"783.0","269813009"
4060084,"V15.3","161633009"
4305080,"786.00","386813002"
75053,"E887","125605004"
373035,"802.4","34649000"
437541,"365","23986001"
441155,"824.6","6698000"
441284,"365.10","84494001"
443458,"802.8","430984009"
134441,"707.9","19429009"
134735,"730.10","40970001"
137367,"730.15","268018005"
138102,"216.9","92384009"
193818,"602.0","85324003"
199063,"552.8","8377001"
316139,"428.9","84114007"
136661,"241.9","190236006"
137497,"110.5","266151007"
137945,"707.22","420324007"
138676,"038.49","53869006"
141038,"428.31","3545003"
141038,"428.32","3545003"
195321,"627.1","76742009"
195769,"218.0","95279007"
197917,"576.8","105997008"
200452,"629.8","244938009"
376647,"171.9","372010005"
441225,"156.2","371967001"
443587,"428.30","418304008"
4005823,"V15.82","110483000"
4056196,"611","198098003"
4334644,"707.03","430949005"
24660,"463","17741008"
433266,"647.81","199153003"
441641,"650","48782003"
4014295,"V27.0","169826009"
193520,"594.1","70650003"
320536,"794.31","102594003"
433813,"596.0","399072004"
437677,"793.1","274533004"
442985,"788.32","248153007"
4181486,"V10.22","363506007"
198571,"785.51","89138009"
314665,"427.32","5370000"
316999,"427.89","44808001"
437894,"427.41","71908006"
438170,"410.41","73795002"
437113,"799.3","13791008"
440279,"E849.5","55566008"
440556,"820.09","79484004"
73553,"716.88","399269003"
136834,"820.21","89820008"
252663,"507.0","196032009"
381174,"921.3","211483007"
437246,"266.2","47903000"
440279,"E849.7","55566008"
320739,"441.0","308546005"
321042,"427.5","410429000"
4151859,"747.6","268190004"
4109691,"303.9","284591009"
81251,"239.3","126926005"
319825,"398.90","23685000"
436353,"174.4","94117003"
374040,"379.99","62619007"
30437,"530.11","266433003"
440321,"041.86","6185008"
201603,"525.9","105995000"
254761,"786.2","49727002"
313224,"426.7","17869006"
4064905,"V74.5","171128005"
4064918,"V77.1","171183004"
4152047,"V77.91","268552003"
4210151,"V65.44","313077009"
73553,"716.99","399269003"
73564,"727.61","202843000"
75860,"564.09","14760008"
77421,"882.0","73059000"
77734,"924.10","45613006"
77987,"786.9","301257008"
78093,"163.9","93966009"
80824,"733.01","18040001"
81112,"719.46","267953003"
134118,"701.9","400190005"
141932,"702.19","398838000"
195401,"924.01","44801007"
200174,"709.8","80659006"
255302,"512.8","80423007"
257007,"477.9","61582004"
372887,"348.30","81308009"
374034,"368.8","63102001"
374036,"372.10","73762008"
374044,"374.30","11934000"
378425,"373.00","41446000"
381444,"921.0","367423000"
432910,"375.89","31053003"
432923,"430","21454007"
433946,"E886.9","274919008"
434896,"216.6","189078004"
436070,"268.9","34713006"
438595,"852.21","40135004"
439314,"451.11","195410000"
440424,"784.3","87486003"
441417,"781.3","281016006"
4026149,"575.1","197412007"
4095592,"172.4","188044004"
4110815,"389.18","194424005"
4151250,"162.3","269464000"
4230642,"V45.76","88855001"
4318408,"432.1","95453001"
74719,"707.15","95345008"
132736,"790.7","5758002"
135888,"707.09","400192002"
135892,"695.9","86735004"
138641,"934.9","45865005"
195306,"535.50","196731005"
196991,"585.9","236425005"
257581,"493.92","281239006"
261880,"518.0","46621007"
316376,"288.3","419769007"
432308,"355.8","62235007"
432545,"041.9","87628006"
433125,"041.11","406602003"
435227,"269.9","70241007"
435796,"276.51","34095006"
439221,"E942.0","45376003"
441764,"E912","269713002"
4159147,"V09.0","371095004"
4170576,"707.00","420226006"
4171556,"707.13","419193008"
4287544,"296.40","68569003"
435950,"813.41","269083002"
437116,"813.42","17222009"
140259,"873.40","47126008"
381033,"379.31","24010005"
80593,"997.5","49698005"
140172,"690","54792008"
199764,"220","92260003"
199856,"454.1","24366001"
200174,"709.9","80659006"
372903,"362.83","6141006"
373478,"367.4","41256004"
374028,"362.50","267718000"
376115,"362.53","14046000"
377280,"371.9","15250008"
377574,"388.01","49526009"
378416,"362.9","29555009"
379805,"367.1","57190000"
434547,"E878.9","88797001"
434926,"364.3","77971008"
437850,"363.00","15847003"
440710,"362.17","247136003"
4036945,"780.0","162273005"
137829,"284.9","306058006"
440977,"281.2","85649008"
76194,"715.89","33262002"
380986,"290.20","371024007"
72576,"217","269485000"
135618,"698.8","64144002"
192353,"575.9","39621005"
194984,"573.9","235856003"
321052,"443.9","400047006"
381444,"921.9","367423000"
30679,"210.2","92205005"
81984,"840.9","209410007"
198803,"600.00","266569009"
313989,"289.1","32035007"
314754,"786.07","56018004"
318459,"518.82","409623005"
440846,"790.92","128088003"
444031,"428.23","48447003"
4028253,"239.0","128348002"
4050572,"V45.02","233170003"
72778,"893.0","210728009"
74816,"924.3","58075000"
78907,"917.8","76373006"
256440,"478.1","7393007"
373638,"918.1","62635000"
376537,"802.29","207763006"
432746,"813.33","39993000"
433403,"047.9","58170007"
434822,"996.78","69260008"
435081,"793.2","274531002"
435082,"802.0","81639003"
435785,"322.9","7180009"
435997,"E917.0","217849004"
436466,"607.1","46090001"
436826,"813.21","3228009"
437400,"813.20","53792000"
437400,"813.22","53792000"
438303,"E886.0","217161005"
439166,"813.81","111640008"
439237,"E968.8","52684005"
441974,"813.80","91419009"
4053045,"E906.0","125198007"
4053599,"881.00","125649002"
4053600,"881.01","125650002"
4146976,"E918","35468003"
75911,"735.0","65358001"
434455,"735.5","86380000"
141941,"721.0","267970006"
196149,"540.0","28845006"
199866,"535.00","25458004"
254061,"511.9","60046008"
317109,"799.1","87317003"
318173,"440.32","234199000"
435141,"998.12","40470007"
436785,"723.0","83561009"
440320,"041.4","71057007"
441422,"812.20","43295006"
441542,"300.09","48694002"
442604,"402.90","64715009"
442774,"440.21","63491006"
4161977,"V45.01","371821000"
195977,"922.9","36787001"
80180,"715.96","396275006"
135526,"336.8","48522003"
141323,"461.0","68272006"
435836,"478.29","123952009"
438111,"238.7","109958007"
440329,"053.9","111859007"
441264,"287.3","267534000"
133299,"729.81","80068009"
137351,"706.2","419603000"
321314,"441.4","75878002"
4001998,"415.1","11029002"
78272,"842.00","70704007"
138896,"873.42","73973007"
201527,"236.5","95014000"
318556,"784.7","12441001"
321462,"997.1","40172005"
443447,"458.29","408668005"
443879,"604.0","27141002"
444211,"715.35","128135006"
196734,"602.9","30281009"
315276,"379.23","31341008"
316999,"427.9","44808001"
440392,"362.30","73757007"
4005603,"753.1","204966004"
374034,"368.9","63102001"
435093,"821.00","25415003"
443535,"041.04","406574007"
26935,"257.8","73820008"
197605,"608.4","128478005"
201899,"550.91","62120000"
374022,"342.90","50582007"
434005,"278.01","238136002"
434675,"536.41","309773000"
436155,"605","266570005"
444101,"402.91","46113002"
4101199,"V41.2","300228004"
193518,"560.89","81060008"
193518,"560.9","81060008"
257012,"473.9","40055000"
443788,"560.81","25817001"
77029,"604.99","57731009"
193795,"531.00","70418001"
195300,"535.3","2043009"
261324,"482.3","34020007"
432312,"365.23","33647009"
435088,"797","271873000"
4309316,"996.7","213130002"
75091,"814.00","9468002"
444129,"959.3","125598003"
135777,"239.2","95087004"
198803,"600.0","266569009"
435788,"275.3","87049008"
442075,"582.81","197616000"
192568,"196.2","94347008"
194408,"593.5","69758005"
196925,"197.6","188445006"
198371,"197.4","94580002"
321483,"997.3","62907002"
432588,"281.1","49472006"
432837,"153.4","371977004"
433811,"591","43064006"
4230544,"198.6","359987004"
73241,"569.0","197210001"
75004,"599.71","197941005"
193809,"578.1","414663001"
196061,"211.1","92411005"
201418,"787.3","271832001"
375806,"356.9","22722001"
436658,"269.1","85670002"
442270,"537.89","52182008"
442270,"537.9","52182008"
140821,"728.85","45352006"
199067,"614.9","198130006"
438649,"978.8","32449007"
377845,"348.1","389098007"
436398,"365.60","66747002"
80568,"886.0","210624002"
195873,"623.5","237101004"
441691,"795.11","441099000"
31602,"478.79","60600009"
73553,"719.90","399269003"
75354,"733.90","77881008"
76161,"607.84","198036002"
79938,"811.00","29749002"
134453,"727.3","84017003"
135858,"528.5","90678009"
137053,"690.10","50563003"
194856,"070.0","16060001"
197494,"070.70","50711007"
198964,"070.54","128302006"
200763,"571.40","76783007"
201618,"569.9","85919009"
254669,"478.5","57781000"
255891,"695.4","200936003"
257628,"710.0","55464009"
376125,"374.9","60113004"
377286,"368.40","12184005"
378427,"375.15","46152009"
432919,"373.34","79291003"
433046,"812.11","54567007"
433968,"112.89","78048006"
434019,"305.21","191893000"
434119,"705.83","69741000"
435839,"457.1","234097001"
436954,"305.90","26416006"
437264,"305.1","89765005"
437541,"365.00","23986001"
439944,"852.01","35672006"
440279,"E928.9","55566008"
442240,"E826.1","215159000"
442444,"E814.7","214227009"
443422,"701.0","201441006"
4305589,"229.9","3898006"
81878,"386.11","111541001"
193787,"454.2","69352009"
314054,"424.1","8722008"
440786,"644.00","4946002"
138027,"958.7","54288002"
312327,"410.91","57054005"
434376,"410.11","54329005"
23567,"744.49","59857007"
74114,"682.7","267783003"
77156,"917.7","18589000"
78831,"730.87","128138008"
79768,"239.5","126879004"
133853,"730.27","28769004"
135350,"730.07","268017000"
138340,"038.11","186385009"
195588,"595.9","38822007"
198062,"009.0","186156007"
198995,"250.63","190371008"
199866,"535.0","25458004"
258780,"491.20","185086009"
259995,"E915","211616004"
261325,"492.8","87433001"
315558,"440.24","51274000"
317309,"443.81","399957001"
318712,"250.71","421365002"
375806,"356.8","22722001"
433218,"451.82","95451004"
435216,"250.81","420868002"
435216,"250.83","420868002"
436314,"998.2","83535005"
437779,"041.00","85769006"
439694,"404.93","194781004"
439700,"302.72","191793009"
439928,"785.4","372070002"
440009,"996.1","19220005"
440276,"996.65","31871009"
442012,"996.39","56836000"
443593,"707.11","428194005"
443729,"250.70","422166005"
4098160,"289.8","191400003"
73383,"945.32","30044002"
78497,"681.10","200638004"
133384,"948.00","6341002"
192278,"250.82","190392008"
318712,"250.73","421365002"
374888,"294.1","191519005"
376085,"290.10","191451009"
378745,"348.3","76011009"
433376,"E924.8","242507000"
438406,"296.24","430852001"
443238,"250.72","268519009"
4008566,"295.9","111484002"
199078,"618.00","398022005"
4228475,"362.60","405721006"
193249,"535.01","2367005"
197500,"153.9","93761005"
198467,"531.01","46708007"
199754,"157.9","372003004"
432875,"280.0","413533008"
438468,"534.00","59515005"
4242962,"211.2","92385005"
132740,"795.5","26576000"
135178,"038.0","29577008"
256716,"493.91","57546000"
434615,"277.00","81423003"
441589,"424.90","56819008"
4112819,"482.8","195887004"
4179332,"V61.20","52184009"
196214,"751.69","235913009"
197917,"576.9","105997008"
73089,"922.32","68893001"
74728,"727.00","202900007"
77635,"715.94","118933004"
77640,"719.15","202411007"
80242,"836.0","307945003"
81378,"717.7","36071006"
135772,"240.9","3716002"
252662,"519.1","233776003"
254980,"493.12","233685005"
255841,"491.8","63480004"
256448,"493.22","195949008"
436209,"733.16","75591007"
437247,"285.29","234347009"
441628,"627.8","266677000"
4092896,"792.1","249625002"
4103471,"V85.0","301331008"
4112831,"493.9","195972005"
4161978,"V46.2","371825009"
78987,"198.1","94663008"
81380,"723.8","111234006"
198189,"567.2","235983003"
200959,"196.6","94350006"
380834,"780.01","371632003"
435511,"275.42","66931009"
441829,"276.0","267446004"
442425,"722.83","202725007"
195581,"568.0","70190001"
197926,"619.2","36894006"
200452,"629.9","244938009"
200780,"621.8","12337004"
318222,"683","41174002"
436003,"998.6","111752005"
438329,"E929.0","218247007"
439840,"457.2","1415005"
439982,"999.3","69698001"
